,User,Title,Estimated Rating,Actual Rating
0,51,Death Note,8.919477998060076,9.0
1,196,Death Note,7.0,8.0
2,365,Death Note,8.945599140570284,9.0
3,607,Death Note,9.300985800283676,10.0
4,672,Death Note,0.0,10.0
5,700,Death Note,0.0,8.0
6,955,Death Note,9.242671887955474,10.0
7,51,FLCL,9.516673472248591,10.0
8,196,FLCL,0.0,5.0
9,256,FLCL,8.0,6.0
10,672,FLCL,10.0,10.0
11,196,Naruto,8.0,7.0
12,365,Naruto,9.21034223109423,10.0
13,607,Naruto,9.999999999999998,7.0
14,955,Naruto,9.306241554432109,8.0
15,256,Highschool of the Dead,8.572559054619198,9.0
16,955,Highschool of the Dead,9.0,7.0
17,365,Vampire Knight,10.0,10.0
